URL,Title,Summary,Published
https://www.nieuwsblad.be/cnt/dmf20230302_94373148,België mag gokreclame van Nederlandse casino’s niet verbieden,<p>De kansspelwet mag het Nederlandse casino’s niet verbieden om gokreclame te maken op Belgisch grondgebied. Dat zegt het Europees Hof van Justitie.</p>,"Thu, 02 Mar 2023 13:02:16 +0100"
https://www.nieuwsblad.be/cnt/dmf20230302_94394997,Tesla wil prijs voor elektrische wagens (op lange termijn) halveren,<p>Tesla-topman Elon Musk gaat ervan uit dat elektrische wagens in de toekomst een heel stuk goedkoper zullen worden. Dat heeft hij woensdag gezegd tijdens de jaarlijkse ‘investor day’ van de Amerikaanse fabrikant van elektrische wagens in Texas. Volgens Musk moet het mogelijk zijn om de kosten voor toekomstige generaties met de helft terug te dringen.</p>,"Thu, 02 Mar 2023 12:50:36 +0100"
https://www.nieuwsblad.be/cnt/dmf20230302_94425826,Twee op drie Belgische gezinnen is niet financieel weerbaar,"<p>Zo’n 64 procent van de Belgen is niet financieel weerbaar. Het gaat om een combinatie van een financieel ongezonde situatie (28 procent) waarbij men niet rondkomt met zijn inkomen, maar ook om financieel kwetsbaren (36 procent), die slechts over een beperkte spaarbuffer beschikken en zich zorgen maken over de toekomst. Dat blijkt uit een rondvraag van consultant Deloitte bij 4.000 Belgen, in samenwerking met de universiteit Gent en bank Argenta.</p>","Thu, 02 Mar 2023 12:49:27 +0100"
https://www.nieuwsblad.be/cnt/dmf20230302_93654296,Aantal werklozen in Vlaanderen stijgt voor vierde maand op rij,<p>Het aantal werklozen in Vlaanderen is in februari - voor de vierde maand op rij - gestegen. Dat blijkt uit cijfers van de Vlaamse arbeidsbemiddelaar VDAB.</p>,"Thu, 02 Mar 2023 11:03:25 +0100"
https://www.tijd.be/r/t/1/id/10451013,Kamer keurde extra vergoedingen voor parlementsvoorzitters goed,12:40 De extra vergoeding voor de gepensioneerde Kamervoorzitters Herman De Croo en Siegfried Bracke is opgenomen in de begroting van de Kamer. Ze lijkt dus volgens de regels te zijn toegekend. De vraag is ...,"Thu, 02 Mar 2023 11:40:17 GMT"
https://www.tijd.be/r/t/1/id/10450884,Van Peteghem probeert rond fiscale taboes te fietsen,11:14 In de zoektocht naar een fiscale hervorming probeert minister van Financiën Vincent Van Peteghem tussen de gevoeligste fiscale symbolen heen te fietsen en toch te eindigen op 6 miljard euro.,"Thu, 02 Mar 2023 10:14:03 GMT"
https://www.tijd.be/r/t/1/id/10450852,Fiscale hervorming levert wie werkt minstens 835 euro per jaar op,"11:08 Federaal minister van Financiën Vincent Van Peteghem heeft zijn voorstel klaar voor een fiscale hervorming van 6 miljard euro. Daarin dalen de belastingen voor wie werkt, maar stijgen ze op vermogen e...","Thu, 02 Mar 2023 10:08:59 GMT"
https://www.tijd.be/r/t/1/id/10450987,Ecuador wil verbindingsofficier in Brussel  in strijd tegen cocaïnehandel,10:21 Ecuador heeft plannen om een verbindingsofficier van de politie naar Brussel te sturen om intenser samen te werken in de strijd tegen de cocaïnehandel. Dat bevestigde de regering tijdens een werkbezoe...,"Thu, 02 Mar 2023 09:21:37 GMT"
https://www.tijd.be/r/t/1/id/10450775,Demir haalt bakzeil in strijd tegen capaciteitstarief,06:00 Het Brusselse hof van beroep heeft het beroep dat Vlaams minister van Energie Zuhal Demir heeft aangespannen tegen het capaciteitstarief van de VREG ongegrond verklaard.,"Thu, 02 Mar 2023 05:00:27 GMT"
https://www.tijd.be/r/t/1/id/10451032,België mag gokreclame van Nederlandse casino's niet verbieden,14:33 De kansspelwet mag het Nederlandse casino's niet verbieden om gokreclame te maken op Belgisch grondgebied. Dat zegt het Europees Hof van Justitie.,"Thu, 02 Mar 2023 13:33:39 GMT"
https://www.tijd.be/r/t/1/id/10451021,Onderzoek naar fraude met woon-werkvisa legt gebrek aan communicatie bloot,13:59 Een gebrek aan communicatie tussen Vlaamse en federale diensten bemoeilijkt het onderzoek naar mogelijke fraude met woon-werkvergunningen uit Turkije en Marokko.,"Thu, 02 Mar 2023 12:59:28 GMT"
https://www.tijd.be/r/t/1/id/10451017,SPD zet 'Poetinvriend' Schröder niet aan de deur,"13:34 Een intern tuchtorgaan van de Duitse sociaaldemocraten houdt voormalig Bondskanselier Gerhard Schröder aan boord, ondanks forse interne druk om zijn lidkaart af te nemen.","Thu, 02 Mar 2023 12:34:47 GMT"
