URL,Title,Summary,Published,Image
https://www.tijd.be/r/t/1/id/10251728,Europese Unie gaat zelf groene obligaties uitgeven,16/09/2020 Europees Commissievoorzitster Ursula von der Leyen legde in haar eerste State of the Union een plan voor een groen en digitaal herstel voor. De Europese fragiliteit moet plaats maken voor vitaliteit.,"Wed, 16 Sep 2020 06:30:01 GMT",
https://www.tijd.be/r/t/1/id/10250656,Regering-Wilmès gaat door tot 1 oktober,10/09/2020 Premier Sophie Wilmès vraagt pas op 1 oktober en niet op 17 september het vertrouwen van de Kamer. De Vivaldi-partijen zijn het daarover eens.,"Thu, 10 Sep 2020 20:16:57 GMT",
https://www.tijd.be/r/t/1/id/10245277,Missie De Wever en Magnette op springen,"14/08/2020 Bart De Wever (N-VA) en Paul Magnette (PS) mogen met hun bubbel van vijf partijen dicht bij een meerderheid zijn, ‘toch lijkt het einde van de missie te naderen’, is te horen in de entourage van de pr...","Thu, 13 Aug 2020 23:00:05 GMT",
https://www.tijd.be/r/t/1/id/10453923,"Drones, camera's en databanken moeten illegale migratie tegengaan",22:01 Europa sleutelt aan een werkbaar plan voor het terugsturen van illegale migranten. Voor het eerst komt er een gezamenlijke strategie voor grensbewaking.,"Tue, 14 Mar 2023 21:01:16 GMT",
https://www.tijd.be/r/t/1/id/10453874,Versnelde vergroening en vaste contracten moeten stroomprijs stabiliseren,"21:14 Een verdrievoudiging van het aanbod groene stroom om de Europese industrie sneller proper en competitief te maken, en flexibele contracten tegen een vaste prijs om de stroomfactuur laag te houden. Dat...","Tue, 14 Mar 2023 20:14:44 GMT",
https://www.tijd.be/r/t/1/id/10453827,"BBB, de luidspreker van de Nederlandse boerenwoede",20:12 De BoerBurgerBeweging (BBB) wordt woensdag een van de winnaars van de Nederlandse verkiezingen. Surfend op het groeiende onbehagen van boeren en plattelandsbewoners staat de partij op stevige zetelwin...,"Tue, 14 Mar 2023 19:12:41 GMT",
https://www.tijd.be/r/t/1/id/10453824,Nog twee Orpea-voorzieningen onder verhoogd toezicht,19:55 De Zorginspectie deed de voorbije weken een nieuwe inspectieronde bij de 23 Vlaamse woon-zorgcentra van de Franse rusthuisketen Orpea. Twee voorzieningen worden onder verhoogd toezicht geplaatst.,"Tue, 14 Mar 2023 18:55:26 GMT",
https://www.tijd.be/r/t/1/id/10453800,100 miljoen euro voor goedkope renovatieleningen aan de zorg,"17:52 De Vlaamse regering maakt 100 miljoen euro vrij in de vorm van renteloze leningen, waarmee zorg- en welzijnsvoorzieningen energiebesparende investeringen kunnen doen.","Tue, 14 Mar 2023 16:52:06 GMT",
https://www.tijd.be/r/t/1/id/10453799,Kan Britse begroting tory's in het zadel houden?,"17:49 In zijn rode begrotingskoffertje zoekt Brits minister van Financiën Jeremy Hunt woensdag naar het verband tussen pensioensparen, een historisch krappe arbeidsmarkt en de electorale vooruitzichten voor...","Tue, 14 Mar 2023 16:49:33 GMT",
https://www.tijd.be/r/t/1/id/10453798,Brussel vindt onderdak voor krakers Nationaal Crisiscentrum,17:45 Het Brussels Gewest heeft opvangplekken gevonden voor de krakers van het toekomstige kantoorgebouw van het Nationaal Crisiscentrum in Sint-Joost-ten-Node. Dat meldt het kabinet van de Brusselse eerste...,"Tue, 14 Mar 2023 16:45:47 GMT",
https://www.tijd.be/r/t/1/id/10453790,Vlaamse burgemeesters bekritiseren wet op  bestuurlijke handhaving,17:12 De wet op de bestuurlijke handhaving moet burgemeesters meer slagkracht geven tegen de infiltratie van georganiseerde misdaad in malafide handelszaken. Maar de burgemeesters van Vlaamse centrumsteden ...,"Tue, 14 Mar 2023 16:12:37 GMT",
https://www.tijd.be/r/t/1/id/10453787,Langste tropische storm ooit teistert Zuidoost-Afrika,"17:02 De tropische storm Freddy treft Mozambique, Malawi en Madagaskar een tweede keer. Er vielen al minstens 227 doden.","Tue, 14 Mar 2023 16:02:59 GMT",
